Проект,Краткое описание,Категории,Цена,Заявки,Link
Специалист по подготовке релизов программного обеспечения,"Требуется специалист по подготовке релизов различного программного обеспечения, траблшутинга процесса установки, активации и работы продуктов. Чем предстоит заниматься: 1. Подготовка пакетов (релизов)...",['Системное администрирование'],1000$,2 заявки,https://www.weblancer.net/vacancies/sistemnoe-administrirovanie-54/spetcialist-po-podgotovke-relizov-programmnogo-obespecheniya-1035828/
Крупный проект на Yii2 и Vue.js - 1000 часов работы,"Необходимо будет решить достаточно объемный спектр задач. Точный объем работ оценить нет возможности, поэтому работаем только по часовой ставке. Также хочу отдельно сказать, что мы ищем индивидуальног...",['Веб-программирование'],,8 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/krupnyj-proekt-na-yii2-i-vue-js-1000-chasov-raboty-1035739/
Adobe flex air и общая интеграция flash в ios и android проекты,"Привет, есть несколько задач по Adobe flex air и общая интеграция flash в ios и android проекты. Ищу подрядчиков (универсальных, либо конкретно под андроид или конкретно под айос) Предпочтение будет о...",['Мобильные приложения'],,4 заявки,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/adobe-flex-air-i-obshaya-integratciya-flash-v-ios-i-android-proekty-1035452/
Модуль доставки Укрпочта для Virtuemart 3.10,Нужен модуль доставки Укрпочты ( международные отправления) для Virtuemart 3.10. на базе Укрпочта API для международных отправлений из Украины. Возможность задать свою наценку для отправлений. Жду пре...,['Веб-программирование'],,1 заявка,https://www.weblancer.net/projects/veb-programmirovanie-31/modul-dostavki-ukrpochta-dlya-virtuemart-3-10-1035189/
Разработать программу для проверки списка прокси для Windows или MacOS,"Необходимо сделать программу подобную той, что на скрине. Программа по ссылке (get запрос) будет забирать список прокси в виде ip:port (до 50000 штук примерно, в среднем 10000 тыс). В настройках можно...",['Системное программирование'],,10 заявок,https://www.weblancer.net/projects/sistemnoe-programmirovanie-24/razrabotat-programmu-dlya-proverki-spiska-proksi-dlya-windows-ili-macos-1034630/
Senior .NET Developer (remote),"О проекте Криптовалютная экосистема, существуем с 2018 года, хорошо известны в индустрии. Описание задач В проект по созданию платёжной системы (блокчейн, крипта, фиат) приглашается .NET разработчик, ...",['Системное программирование'],,8 заявок,https://www.weblancer.net/vacancies/sistemnoe-programmirovanie-24/senior-net-developer-remote-1033031/
Нужен способ обхода по ключевому слову Яндекс Директ,"Добрый вечер! не буду ходить вокруг да около - http://joxi.ru/D2PpaQikeWWl23 каждый день по запросу 1xbet , крутятся 1-2 команды.Куплю способ как ""пропихивают"" запрос так чтобы высвечиваться...",['Контекстная реклама'],,8 заявок,https://www.weblancer.net/projects/kontekstnaya-reklama-88/nuzhen-sposob-obhoda-po-klyuchevomu-slovu-yandeks-direkt-1032842/
Проект на вордпресс,"Есть вордпресс + хороший качественный премиум-шаблон + плагин впrecall с дополнениями Есть готовое ТЗ для данной связки Нужно по ТЗ создать проект (в основном это программирование + внешний вид есть, ...",['Веб-программирование'],1000$,27 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/proekt-na-vordpress-1032563/
Разработать  функционал фото коллажа  (онлайн),"Здравствуйте! Нам на сайт нужен всем известный онлайн коллаж из фото, но под наш дизайн и с нашими требованиями функционала/возможностей раскладки. Дробности при обсуждение в ТЗ Скриншот нашего дизайн...",['Веб-программирование'],,48 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/razrabotat-funktcional-foto-kollazha-onlajn-1032190/
Написать продающий текст,"Здравствуйте, друзья. Ищу ответственного и трудолюбивого копирайтера для написания статей на блог по теме ""Сад, огород, дача"". Оплата по 40-50 рублей за 1000 знаков. В дальнейшем оплата увел...",['Копирайтинг'],,263 заявки,https://www.weblancer.net/projects/kopirajting-48/napisat-prodayushij-tekst-1031363/
Senior Full-stack Developer (Киев),"О компании Высокотехнологичный и хорошо профинансированный стартап, разрабатывающий систему мониторинга для облачных сервисов и больших датацентров. Мы всегда ищем талантливых и амбициозных разработчи...",['Веб-программирование'],,12 заявок,https://www.weblancer.net/vacancies/veb-programmirovanie-31/senior-full-stack-developer-kiev-1031349/
Senior Golang Devoper (Киев),"О компании Высокотехнологичный и хорошо профинансированный стартап, разрабатывающий систему мониторинга для облачных сервисов и больших датацентров. Мы всегда ищем талантливых и амбициозных разработчи...",['Системное программирование'],,8 заявок,https://www.weblancer.net/vacancies/sistemnoe-programmirovanie-24/senior-golang-devoper-kiev-1031347/
Дизайн Баннеров для Постов  в Facebook,Всем Привет! Можно сделать дизайны с помощью canva или иллюстраторов на ваше усмотрение Текст не больше 20% из картинки Тематика Ремонт Телефонов Дизайны не нужны сложные обычно интересное фото и текс...,['Баннеры'],,1 заявка,https://www.weblancer.net/projects/bannery-8/dizajn-bannerov-dlya-postov-v-facebook-1036029/
Реферат до вечера!,"Нужен реферат на 7 страниц(без титульного листа), на украинском, с литературой до вечера, очень срочно! тема: «Розвиток електоральної політології в Україні».","['Рефераты, Курсовые и\xa0Дипломы']",,нет заявок,https://www.weblancer.net/projects/referaty-kursovye-i-diplomy-47/referat-do-vechera-1036034/
